# quest_id,title,description,objectives_text,reward_text,reward_xp,reward_gold,reward_item1,reward_item2,prev_quest,min_level,kill_obj1_display,kill_obj1_count,kill_obj2_display,kill_obj2_count,kill_obj3_display,kill_obj3_count,kill_obj4_display,kill_obj4_count,creature_entry,poi_x,poi_y
14,The People's Militia,"Some Defias have eluded us. My most trusted scout reports that these Defias have been looting and pillaging the countryside, all the way into Southern Westfall. We believe they are hiding out in the Dagger Hills, plotting their next move. Slay the wretches in the name of The People's Militia.",Return to Gryan Stoutmantle at Sentinel Hill in Westfall.,"When I left the tainted lands of Lordaeron I returned to a grim state of affairs here in my homeland. But there is hope for Westfall yet. As proven by your valor in battle, it is obvious to me that you serve our cause with honor. It is with great pride that I induct thee into The People's Militia. May the Light shine upon you.",1020,0,0,0,13,9,2342,15,2336,5,2344,5,0,0,234,-11258.0,1506.0
15,Investigate Echo Ridge,"$N, my scouts tell me that the kobold infestation is larger than we had thought. A group of kobold workers has camped near the Echo Ridge Mine to the north.

Go to the mine and remove them. We know there are at least 8. Kill them, see if there are more, then report back to me.",Return to Marshal McBride at Northshire Abbey in Elwynn Forest.,"I don't like hearing of all these kobolds in our mine. No good can come of this. Here, take this as payment, and when you're ready, speak to me again. I would like you to go back to the mines one more time...",850,40,0,0,7,1,2299,8,0,0,0,0,0,0,197,-8782.0,-274.0
16,Give Gerard a Drink,,Return to Gerard Tiller in Duskwood.,"Thanks, $N! And come back if you want to trade again.",0,0,4536,0,0,1,0,0,0,0,0,0,0,0,255,-9983.0,549.0
18,Brotherhood of Thieves,"Recently, a new group of thieves has been hanging around Northshire. They call themselves the Defias Brotherhood, and have been seen across the river to the east.

I don't know what they're up to, but I'm sure it's not good! Bring me the bandanas they wear, and I'll reward you with a weapon.",Return to Deputy Willem at Northshire Valley in Elwynn Forest.,"Back with some bandanas, I see. The Stormwind Army appreciates your help.",1020,0,0,0,783,2,0,0,0,0,0,0,0,0,823,-9052.0,-458.0
19,Tharil'zun,Blackrock Outrunners and Renegades are running ambushes between here and Stonewatch Keep. The leader of the Outrunners is an orc named Tharil'zun--we want this orc. Bring me the head of Tharil'zun!,Return to Marshal Marris at Lakeshire in Redridge Mountains.,"Tharil'zun was a vicious, crafty orc. Well done - I'm sure he didn't go down easy. Here is your reward, $N.",850,0,0,0,20,18,0,0,0,0,0,0,0,0,382,-9435.0,-3079.0
20,Blackrock Menace,"The Blackrock orcs have travelled from the Burning Steppes and claimed Stonewatch Keep to the north. From there they maraud the areas north of Lakeshire and keep its citizens in town, penned like cattle.

Help rid Lakeshire of this menace. Kill these Blackrock orcs and bring me ten of their Battleworn Axes as proof.

And although Blackrocks threaten us from the north, we've received reports of more in the southeastern pocket of Redridge. If you find any there, then they too should be hunted.",Return to Marshal Marris at Lakeshire in Redridge Mountains.,"That makes for a lot fewer orcs to worry about, thanks.",850,1300,0,0,0,18,0,0,0,0,0,0,0,0,382,-9816.0,-3260.0
21,Skirmish at Echo Ridge,"Your previous investigations are proof that the Echo Ridge Mine needs purging. Return to the mine and help clear it of kobolds.

Waste no time, $N. The longer the kobolds are left unmolested in the mine, the deeper a foothold they gain in Northshire.",Return to Marshal McBride at Northshire Abbey in Elwynn Forest.,"Once again, you have earned my respect, and the gratitude of the Stormwind Army. There may yet be kobolds in the mine, but I will marshal others against them. We have further tasks for you.",1020,0,0,0,15,1,365,8,0,0,0,0,0,0,197,-8561.0,-218.0
22,Goretusk Liver Pie,The onions are peeled. The garlic is minced. The rosemary is crushed. The crust has been baked. The dill weed is chopped. The gravy is simmering. Now all I need for my famous meat pie are 8 Goretusk Livers!,Return to Salma Saldean at Saldean's Farm in Westfall.,"These are just perfect, $N! Thank you so much. Farmer Saldean and I are going to feast tonight. And here is a little something for you, for the hard work. You didn't think I was going to let a $c like you go hungry, did you?",850,0,724,2697,0,9,0,0,0,0,0,0,0,0,235,-10448.0,872.0
23,Ursangous's Paw,"The paw of the mighty bear Ursangous is your trophy for this part of the Ashenvale Hunt. On the paw is a small quarter-crescent emblem; the significance of the emblem remains a mystery.

The paw should be brought to Senani Thunderheart in Splintertree Post to prove that you have bested the mighty creature and completed this portion of the hunt.",,"Ah, the paw of Ursangous! Your skill is impressive, $c; he is credited with numerous kills. The crescent on his paw is no doubt a sign that he was trained by the night elves that skulk about Ashenvale. Ursangous is... was one of the mightiest bears you'd find in these parts. To have bested such a creature is a testament to your will and resolve.

Your ancestors would be proud!",850,0,0,0,6383,20,0,0,0,0,0,0,0,0,0,2026.0,-824.0
24,Shadumbra's Head,The once swift Shadumbra now lies still as you claim victory over it. The head of the slain nightsaber is a fitting trophy for this fight of the Ashenvale Hunt. Senani Thunderheart at Splintertree Post will want to see such a trophy to award you credit for this part of the Ashenvale Hunt.,,"A victory for $N in the Ashenvale Hunt! Well done - the head of Shadumbra is a fitting trophy to claim for such an impressive fight, no doubt.

Shadumbra's savagery was well known throughout the post here. Any trip to the west, especially on foot trying to get out to the Zoram Strand, was wrought with danger because of this tiger. Thanks to you, this danger has abated.",850,0,0,0,6383,20,0,0,0,0,0,0,0,0,0,2759.0,-1901.0
26,A Lesson to Learn,"$N, I have been following your progress with much delight. You are most assuredly developing yourself into a valued protector of nature.

The time has come for you to learn more about one of the various animal aspects that Cenarius has blessed us with the ability to change into - one that affords you command and mastery of the water. For this, you must travel to the village of Nighthaven in Moonglade and speak with Dendrite Starblaze of the Cenarion Circle there. He will guide you further.",,"Salutations, young $c; the time has come for you to know our aquatic form. It is one that lets you move freely and indefinitely through water. You will find this aspect a useful tool and a blessing... but it is one that must be earned before it is mastered.

You will face two trials to overcome. The first will test your ability to work in water under pressure. The second will test your resolve to understand the aspects of the form itself.

Stand ready, as the time of testing is now upon us.",170,0,0,0,0,16,0,0,0,0,0,0,0,0,4217,8020.0,-2679.0
27,A Lesson to Learn,"$N, I have been following your progress with much delight. You are most assuredly developing yourself into a valued protector of nature.

The time has come for you to learn more about one of the various animal aspects that Cenarius has blessed us with the ability to change into - one that affords you command and mastery of the water. For this, you must travel to the village of Nighthaven in Moonglade and speak with Dendrite Starblaze of the Cenarion Circle there. He will guide you further.",,"Salutations, young $c; the time has come for you to know our aquatic form. It is one that lets you move freely and indefinitely through water. You will find this aspect a useful tool and a blessing... but it is one that must be earned before it is mastered.

You will face two trials to overcome. The first will test your ability to work in water under pressure. The second will test your resolve to understand the aspects of the form itself.

Stand ready, as the time of testing is now upon us.",170,0,0,0,0,16,0,0,0,0,0,0,0,0,3033,8020.0,-2679.0
28,Trial of the Lake,"For your first trial, search the depths of Lake Elune'ara to locate a Shrine Bauble. It decays rapidly, so proceed with it to the Shrine of Remulos post haste. Use the bauble at the shrine, and then speak with Tajarri there; she is one of Moonglade's most trusted wardens.

You only have a set amount of time to complete the task, and you may be competing against other druids searching for baubles themselves. Mental and physical dexterity will be critical to your success.

Good luck, $N.",Return to Tajarri at the Shrine of Remulos in Moonglade.,"Well now. it looks like yet another druid has successfully completed the Trial of the Lake! Well done. my young friend - well done.

As I've said. my name is Tajarri. It is my duty and my privilege to serve as a warden for Moonglade. and specifically this shrine. Keeper Remulos guides the Cenarion Circle in preservation of nature and balance. and his shrine serves as a lasting tribute to such. By using the bauble here. it serves as a nod to the importance of this place within the Circle.",680,0,0,0,27,16,0,0,0,0,0,0,0,0,11802,7708.0,-2733.0
29,Trial of the Lake,"For your first trial, search the depths of Lake Elune'ara to locate a Shrine Bauble. It decays rapidly, so proceed with it to the Shrine of Remulos post haste. Use the bauble at the shrine, and then speak with Tajarri there; she is one of Moonglade's most trusted wardens.

You only have a set amount of time to complete the task, and you may be competing against other druids searching for baubles themselves. Mental and physical dexterity will be critical to your success.

Good luck, $N.",Return to Tajarri at the Shrine of Remulos in Moonglade.,"Well now. it looks like yet another druid has successfully completed the Trial of the Lake! Well done. my young friend - well done.

As I've said, my name is Tajarri. It is my duty and my privilege to serve as a warden for Moonglade, and specifically this shrine. Keeper Remulos guides the Cenarion Circle in preservation of nature and balance, and his shrine serves as a lasting tribute to such. By using the bauble here, it serves as a nod to the importance of this place within the Circle.",680,0,0,0,26,16,0,0,0,0,0,0,0,0,11802,7708.0,-2733.0
30,Trial of the Sea Lion,"For the second trial, you'll need the two halves that make the Pendant of the Sea Lion. One half draws power from the agility of the sea lion aspect, gliding through water; the other draws power from the incredible endurance of the sea lion aspect. Druids draw on both these traits equally to embody the aspect of their aquatic form.

Speak with the locals of Moonglade to learn where the parts may lie, and bring both here to join them together. Once formed, take the pendant to Dendrite Starblaze.",Return to Dendrite Starblaze at Nighthaven in Moonglade.,"You've completed the Trial of the Sea Lion, $N - congratulations.

Each task in acquiring the pendant shows that both agility and endurance are necessary to act in harmony with what you desire to do underwater. Neither can exist without the other, and both cannot be done without you willingness to embrace the aspect of the sea lion.

Remember these lessons well, and count on them once you have gained your aquatic form.",680,0,0,0,28,16,0,0,0,0,0,0,0,0,11799,8020.0,-2679.0
31,Aquatic Form,"You have completed the necessary lessons all young druids are taught before they can adopt an aquatic aspect. Go now back to your trainer, Turak Runetotem, in Thunder Bluff. Show him your pendant and prove to him you are ready to learn what he has to teach you. He will complete your training, allowing you to become one with the water.

Goodbye, young druid. We shall speak again.",,"Very impressive, $N. Your ancestors would be pleased with your progress! You're ready to learn your aquatic form, and it is my pleasure to teach it to you.

Also, in recognition of your achievement during the two trials, I give you this item. I hope you'll find it to be a welcome addition to your gear as a protector of nature and a keeper of the balance.",850,0,16608,0,30,16,0,0,0,0,0,0,0,0,11802,-1039.0,-282.0
33,Wolves Across the Border,"Whatever is affecting these wolves isn't going away. Each day that passes brings forth more sick wolves. It pains me to ask anyone to kill nature's beasts, but we must destroy the diseased young wolves before this little outbreak turns into an epidemic.

Kill diseased young wolves in the valley and bring me their diseased wolf pelts as proof of your deed.",Return to Eagan Peltskinner at Northshire Valley in Elwynn Forest.,"'Twas a grim task, friend, but you held up your part of the bargain.

I have some things here you might want - take your pick!",850,0,0,0,5261,1,0,0,0,0,0,0,0,0,196,-8837.0,-305.0
34,An Unwelcome Guest,"Once again my garden was trampled and pillaged. And I know the brute who is doing it. It's that forsaken boar, the one Marshal Marris has taken to calling Bellygrub.

I won't be able to re-plant the daffodils until next season now. Ruined! All ruined by that one menacing boar. Put an end to that pest! Show me his tusk and I'd be happy to reward you. He seems to spend his time foraging in the field southwest of Lakeshire but occasionally he roams over here and into my garden.",Return to Martie Jainrose at Lakeshire in Redridge Mountains.,"Finally the menace is laid to rest! Thank you, $N, you have done me a great service. The garden shall be in full bloom this season!",850,1700,2562,0,0,18,0,0,0,0,0,0,0,0,342,-9289.0,-1919.0
35,Further Concerns,"If you are concerned that the rumors of murlocs are true, then do this -- travel to the eastern Elwynn bridge and speak with Guard Thomas. He has been stationed at the bridge for the past week and will know the state of the area.

Bring me his report.",,"Yes, murlocs have settled in and around the streams of eastern Elwynn. We don't know why they are here, but they are aggressive and at least semi-intelligent.",510,0,0,0,40,7,0,0,0,0,0,0,0,0,240,-9610.0,-1032.0
36,Westfall Stew,"I never thought the day would come when I'd leave the farm. But the fields are overrun with thieves and it's far too dangerous for us here now. As soon as Farmer Furlbrow gets the wagon fixed, we'll be on our way.

Maybe you could do me a favor? Let me scribble down my recipe for Westfall stew. Please take it to Salma Saldean over on the farm yonder. The Saldean's farm is just beyond the fork in the road.",,"That Verna was always such a sweet lass. We'll miss her here in Westfall but between you and me, she's a city girl at heart and Stormwind will suit her just fine. But enough gossip! Now we can make Westfall Stew!",510,0,0,0,0,9,0,0,0,0,0,0,0,0,238,-10112.0,1042.0
37,Find the Lost Guards,"A few days ago we sent two Guards, Rolf and Malakai, to investigate along the river, and they have not yet returned. To complete my report, I must know what happened to those men.

Travel north along the river and find the guards... or their remains.",,"Although much has been stripped from the corpse, strewn nearby is a medallion with the words: \""Footman Malakai Stone\"" etched upon it.",340,0,0,0,35,7,0,0,0,0,0,0,0,0,261,-9336.0,-986.0
38,Westfall Stew,"Help me make some Westfall Stew! Come back with the following ingredients:

3 Stringy Vulture Meat
3 Goretusk Snouts
3 Murloc Eyes
3 Okra",Return to Salma Saldean at Saldean's Farm in Westfall.,"That Okra will thicken up this broth nicely! Now we just add the Stringy Vulture Meat, a few Murloc Eyes and those delicious Goretusk Snouts. And we're done! For all your help, $N, I want you to take today's first batch of Westfall Stew!",850,0,733,728,36,9,0,0,0,0,0,0,0,0,235,-10586.0,816.0
39,Deliver Thomas' Report,"Tell Marshal Dughan of Malakai and Rolf's deaths, and report to him that the Murlocs in eastern Elwynn cannot be contained by our current troop presence.

I know we don't have many troops to spare, but hopefully Dughan can find someone.",,"Hmm, this news is troubling. Already our defenses are stretched thin, and losing Rolf and Malakai to those murlocs put us in an even worse position.

If things don't improve, there will be fighting in Goldshire by the week's end!",1020,700,0,0,71,7,0,0,0,0,0,0,0,0,261,-9466.0,74.0
40,A Fishy Peril,"$N, there's a new threat in Elwynn Forest! Murlocs are swimming up the streams of eastern Elwynn, scaring away fish and attacking gentle folk!

I warned Marshal Dughan, but he's more worried about the gnolls and the bandits. He's not convinced that the murlocs are a danger.

Please, $N, speak to Dughan and persuade him to send more troops to the east!",,"Yes, I spoke with Remy. I respect him as a merchant, though all reports of Murlocs to the east have been sketchy at best.

Your concerns are noted, but unless I receive a military report of a murloc threat, we can't afford to send more troops east.",170,0,0,0,0,7,0,0,0,0,0,0,0,0,241,-9466.0,74.0
45,Discover Rolf's Fate,"Upon further searching the area, you find webbed footprints leading east along the shore of Stone Cairn Lake. In the distance to the east, you can just barely see a Murloc village.

Perhaps Rolf's fate ended there...",,"You find around the neck of the corpse a metal medallion inscribed with the words \""Footman Rolf Hartford.\""",510,0,0,0,37,7,0,0,0,0,0,0,0,0,0,-9224.0,-1234.0
46,Bounty on Murlocs,"The Stormwind Army has placed a bounty on murloc lurkers and foragers in Elwynn. Slaughter them and bring me their torn murloc fins, and the Stormwind Army will reward you well.

The murlocs have built a village at Stone Cairn Lake north of here, and another to the south where the stream forks.",Return to Guard Thomas in Elwynn Forest.,"You have the fins? Great! Marshal Dughan is anxious about the Murloc situation in eastern Elwynn, and I'd like to tell him that it's becoming under control.

Your actions have helped realize that.",850,0,0,0,0,7,0,0,0,0,0,0,0,0,261,-8986.0,-1251.0
47,Gold Dust Exchange,"The Kobolds in these parts sometimes carry Gold Dust on them. I could really use the stuff - bring me a load of it and I'll give you the best price in town...best price in town!

You can find kobolds in the Fargodeep Mine to the south, and around the Jasperlode Mine to the northeast.","Return to Remy \""Two Times\"" at Goldshire in Elwynn Forest.","Thanks for the dust, $N. Here's your cash, and...here is a token from associates of mine. You might find it useful...useful.",850,175,1191,0,0,4,0,0,0,0,0,0,0,0,241,-9317.0,-717.0
52,Protect the Frontier,"Hail, $N. Wild animals are growing more and more aggressive the farther we get from Goldshire, and the Eastvale Logging Camp suffers nearly constant attacks from wolves and bears!

We could use your help out here.",Return to Guard Thomas in Elwynn Forest.,"Thanks a lot for the help, $N. Something in the forest must be making these animals so bold.

Whatever it is, I hope it stays there.",680,250,858,0,0,7,11415,8,1006,5,0,0,0,0,261,-9717.0,-1612.0
54,Report to Goldshire,"$N, you are a $c with proven interest in the security of Northshire. You are now tasked with the protection of the surrounding Elwynn Forest.

If you accept this duty, then I have prepared papers that must be delivered to Marshal Dughan in Goldshire. Goldshire lies along the southern road, past the border gates.",,"Well, it says here that you've been awarded Acting Deputy Status with the Stormwind Marshals. Congratulations.

And good luck - keeping Elwynn safe is no picnic... what with most the army busy doing who knows what for who knows which noble!

It's hard to keep track of politics in these dark days...",510,0,6078,0,21,1,0,0,0,0,0,0,0,0,197,-9466.0,74.0
55,Morbent Fel,"Morbent Fel hides in his lair, the house perched atop the hill to the east overlooking the Raven Hill cemetery. His time in this land is drawing to an end...

Use Morbent's Bane against him. It will render his protective magics powerless.

Slay him. Slay him, and save us from his wickedness. Be the instrument of my revenge, and a hero of Duskwood!",Return to Sven Yorgen at The Hushed Bank in Duskwood.,"Morbent Fel has been defeated. The dark riders are still at large, but a small piece of that which I had hoped beyond hope has come to pass.

You have done the impossible, and your deeds will forever live in the legends of Duskwood.

Go, $N. And perhaps, one day, fate may bring you back to me...",1200,0,7344,0,325,20,4272,1,0,0,0,0,0,0,311,-10318.0,377.0
56,The Night Watch,"As Commander of The Night Watch it is my sworn duty to protect the citizens of Darkshire. Stormwind has retracted their commissioned guards from their posts here, leaving us to our own devices.

If you feel worthy of the task, we need your help! Assist The Night Watch by venturing forth into Tranquil Gardens, just south of Darkshire, and slaying 8 Skeletal Warriors and 6 Skeletal Mages. The undead threat must be thwarted!",Return to Commander Althea Ebonlocke at Darkshire in Duskwood.,"Splendid, $N. For your service to the people of Darkshire you shall be rewarded.",680,1700,0,0,0,18,200,8,9783,6,0,0,0,0,264,-10954.0,-1376.0
57,The Night Watch,"$N, I'm getting reports of an undead infestation in the forest! If you're up to the job, journey to the Raven Hill graveyard and slay 15 of those vile Skeletal Fiends and 15 Skeletal Horrors. There are also reports of skeletons just south of Darkshire, in and around Tranquil Gardens Cemetery. The undead must be driven from Duskwood!",Return to Commander Althea Ebonlocke at Darkshire in Duskwood.,"The people of Darkshire thank you, $N. You have proven yourself to be a great ally of The Night Watch.",850,2000,0,0,56,18,7550,15,9786,15,0,0,0,0,264,-10509.0,191.0
58,The Night Watch,"The situation in Raven Hill is still grim. The safety of Darkshire is in your hands, $N. I don't have enough Watchers to keep the town safe. We need you to dispatch for Raven Hill yet again and rid the eastern mausoleum of 20 Plague Spreaders!",Return to Commander Althea Ebonlocke at Darkshire in Duskwood.,"On behalf of the people of Darkshire and as the Leader of the Night Watch, I thank you, $N, for your bravery and dedication. May the Light shine upon your ways.",850,2500,0,0,57,18,519,20,0,0,0,0,0,0,264,-10333.0,121.0
59,Cloth and Leather Armor,"For your shrewdness and valor, I have a marker here that is good for one piece of armor. I want you to take it to Sara Timberlain at the Eastvale Logging Camp. Give her the marker, and she will fashion the armor for you. And after you receive it, $N, use it in the defense of Elwynn.

The Eastvale Logging Camp is beyond Guard Thomas' post to the east.",,"Ah, thank you for the marker. Please feel free to pick your choice of armor.

Luck to you, brave $c. And may this armor serve you well.",340,0,0,0,39,7,0,0,0,0,0,0,0,0,240,-9532.0,-1222.0
60,Kobold Candles,"Hello, $ggood sir:my lady;! Do you have a moment?

My brother and I run an apothecary in Stormwind, and I'm here to gather large candles for their wax. Can you help me?

You can get large candles from kobolds, and I hear rumors that kobolds are infesting the Elwynn mines ... the Fargodeep mine to the south and Jasperlode Mine to the east. I suggest looking for candles in one of those places.",Return to William Pestle at Goldshire in Elwynn Forest.,"You were busy hunting kobolds, were you? Thanks for the candles, $N, and here's your reward...",680,125,1434,0,0,3,0,0,0,0,0,0,0,0,253,-9317.0,-717.0
61,Shipment to Stormwind,"My brother Morgan is waiting in Stormwind for my shipment of candles. I don't have enough time to make the trip myself, but if you'd like to take him the shipment, he'll pay you well.

I've packed up the candles, and you can find Morgan in our shop, Pestle's Apothecary, in the Stormwind Trade District.",,"Here is your payment ... and while you're here, take a look around! I'm sure we have a potion or other trinket you'd find useful.",1020,350,0,0,60,3,0,0,0,0,0,0,0,0,253,-8858.0,625.0
62,The Fargodeep Mine,"The mine in Northshire isn't the only one with problems! I have reports that the Fargodeep Mine in Elwynn has also become a haven for Kobolds.

Explore the mine and confirm these reports, then return to me. The mine is almost due south of Goldshire, between the Stonefield and Maclure homesteads.",Return to Marshal Dughan at Goldshire in Elwynn Forest.,"This is bad news. What's next, dragons?!? We'll have to increase our patrols near that mine. Thanks for your efforts, $N. And hold a moment... I might have another task for you.",680,125,0,0,0,4,0,0,0,0,0,0,0,0,240,-9844.0,92.0
63,Call of Water,"Along the coast of Silverpine, west of the Sepulcher, you will find a shrine that has become tainted by the plague. The spirits there no longer speak to our people and it will be up to you to defeat the manifestation and cleanse the pool.

Take the elemental's bracers, along with the remaining drops of Brine's potion, and place them on the brazier. The ritual should be enough to summon a pure spirit for you to communicate with.

Bring me proof the task is done, and I will reward you with your totem.",Seek out the Brazier of Everfount at North Tide's Run in Silverpine Forest.,You place the bracers atop the brazier and then pour the remaining drops of Brine's potion into the flame. The drops crackle as they hit the flame and you begin to incant the simple words Islen taught you....,680,0,0,0,220,20,0,0,0,0,0,0,0,0,5901,419.0,1832.0
64,The Forgotten Heirloom,"It was horrible! Verna woke me when she heard a ruckus in the fields. The fields were full of hooligans. We left in a rush and I forgot to pack my pocket watch. Verna's pa gave me that watch on our wedding day and I feel just sick knowing those thieves have it. I left the pocket watch in the wardrobe at the farmhouse. Look for the field of pumpkins to the West -- you can't miss it. If you bring it back to me, I'd sure be grateful!",Return to Farmer Furlbrow at the Jansen Stead in Westfall.,"My watch! Thank you so much, kind sir!

We are but poor farmers and we have lost our land but please accept this reward as a token of our appreciation.",850,0,4541,1179,0,9,0,0,0,0,0,0,0,0,237,-9850.0,1290.0
65,The Defias Brotherhood,"The band of wretches responsible for driving the good people of Westfall from the land call themselves The Defias Brotherhood. I need you to infiltrate this clan of thugs. We need to know who heads up the cartel and where they are hiding out. In Lakeshire, in the inn, there is a rogue by the name of Wiley who owes me a favor.

Travel to Lakeshire in the Redridge Mountains, east of Elwynn, and find out what you can.",,"So, Stoutmantle sent you? Well, I owe him.",850,0,0,0,0,14,0,0,0,0,0,0,0,0,234,-9232.0,-2146.0
71,Report to Thomas,"Now that you have both medallions, deliver them to Guard Thomas at the bridge so that he might know the fate of his murdered guards.",,"You have confirmed my fears, $N. The murlocs are a threat we cannot ignore.",340,0,0,0,45,7,0,0,0,0,0,0,0,0,0,-9610.0,-1032.0
73,<TXT> No Reward,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
76,The Jasperlode Mine,"Thanks to you we know the Fargodeep Mine is infested with kobolds. Now we need a scout to investigate the more distant Jasperlode Mine.

Explore Jasperlode and confirm any kobold presence. To reach the mine, travel east along the road until you reach the Tower of Azora. From the tower, head north and you'll find the mine in the foothills.",Return to Marshal Dughan at Goldshire in Elwynn Forest.,"Kobolds at the Jasperlode Mine, you say? Curses! The situation is worsening by the minute!

Thank you for the report, $N. But I wish that the news you brought was good news.",850,350,0,0,62,4,0,0,0,0,0,0,0,0,240,-9029.0,-644.0
